Altium Designer Pick and Place Locations
C:\Users\schilkp\Desktop\vitalcore_hardware\VC_NRF5340\Documentation\PassivesOnlyAssembly_1.3\PickAndPlace\Pick Place for VC_NRF5340(PassivesOnlyAssembly).csv

========================================================================================================================
File Design Information:

Date:       04/03/24
Time:       14:24
Revision:   73acbaafdb8634e2d0a8d94b76533d0d9781bda4
Variant:    PassivesOnlyAssembly
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer","Manufacturer Part Number"
"Y1","TopLayer","9.7000","7.7750","270","ECS International","ECS-.327-9-1210-TR"
"J5","TopLayer","14.6750","11.2000","180","Panasonic","ERJ-1GN0R00C"
"J4","TopLayer","15.1715","0.7068","180","Panasonic","ERJ-1GN0R00C"
"J3","TopLayer","15.1923","1.2342","180","Panasonic","ERJ-1GN0R00C"
"J2","TopLayer","15.2000","1.7750","180","Panasonic","ERJ-1GN0R00C"
"J1","TopLayer","16.2266","1.2673","90","Panasonic","ERJ-1GN0R00C"
"C18D","TopLayer","6.1000","8.7000","180","Murata","GRM0335C1H111JA01D"
"C17D","TopLayer","7.0250","8.7000","0","Murata","GRM0335C1H111JA01D"
"RT1D","TopLayer","9.7823","9.8078","0","Panasonic","ERTJZEG103FA"
"R6D","TopLayer","10.6750","10.0000","270","Panasonic","ERJ-1GNF1002C"
"R5D","TopLayer","26.4000","10.1000","90","Panasonic","ERJ-2RKF5101X"
"R4D","TopLayer","26.4000","2.3000","90","Panasonic","ERJ-2RKF5101X"
"U4D","TopLayer","16.6000","10.9000","90","NXP Semiconductors","PESD1USB30"
"D2D","TopLayer","11.8000","1.1000","90","Lumex","SML-LX0404SIUPGUSB"
"C2D","TopLayer","13.3750","0.4000","0","Murata","GRM033Z71A104KE14D"
"L6","TopLayer","5.0000","0.7250","180","Murata","LQW03AW5N6J00D"
"Y2","TopLayer","5.7000","2.4000","180","ECS International","ECS-320-7-48B-JTM-TR5"
"R4","TopLayer","10.5045","1.5106","0","Panasonic","ERJ-1GNF1002C"
"R3","TopLayer","7.3511","7.5155","270","Yageo","RC0201FR-072R2L"
"R3D","TopLayer","10.9451","8.3187","180","Panasonic","ERJ-1GNF1003C"
"R2","TopLayer","10.5131","0.9912","0","Panasonic","ERJ-1GNF2201C"
"R2D","TopLayer","10.6750","9.0750","270","Panasonic","ERJ-1GNF1003C"
"R1","TopLayer","10.5082","0.4440","180","Panasonic","ERJ-1GNF2201C"
"L7","TopLayer","5.7250","1.1500","270","Murata","LQW03AW5N6J00D"
"L5","TopLayer","7.9000","0.7250","180","Murata","LQP03HQ2N2B02D"
"L4","TopLayer","8.6250","1.1500","270","Murata","LQP03HQ2N2B02D"
"L3","TopLayer","6.4500","0.7250","180","Murata","LQW03AW5N6J00D"
"L2","TopLayer","5.5000","6.8000","90","Murata","LQM18DN100M70L"
"L2D","TopLayer","13.9000","10.0000","0","Murata","DFE201210S-1R5M=P2"
"L1","TopLayer","5.5000","4.3000","90","Murata","LQM18DN100M70L"
"L1D","TopLayer","9.5978","11.2250","270","Taiyo Yuden","MBKK1608T2R2M"
"JP1D","TopLayer","7.7000","8.2000","180","Panasonic","ERJ-1GN0R00C"
"E1","TopLayer","1.6245","4.6632","90","Fractus Antennas","NN03-320"
"D1D","TopLayer","12.7175","12.0000","0","ON Semiconductor","NSR20F30NXT5G"
"C16","TopLayer","9.3995","0.7308","180","Murata","GJM0335C1ER70BB01D"
"C16D","TopLayer","5.5000","8.1750","0","Murata","GRM033Z71A104KE14D"
"C15","TopLayer","6.3000","4.8000","90","Murata","GRM033C81A105ME05D"
"C15D","TopLayer","6.6250","8.1750","180","Murata","GRM033Z71A104KE14D"
"C14","TopLayer","6.9000","4.8000","270","Murata","GRM033Z71A104KE14D"
"C14D","TopLayer","16.7500","1.5500","90","Murata","GRM033Z71A104KE14D"
"C13","TopLayer","8.6250","7.7750","270","Kyocera AVX","0402YD475MAT2A"
"C13D","TopLayer","11.7000","9.1000","0","Kyocera AVX","0402YD475MAT2A"
"C12","TopLayer","6.6000","7.2000","270","Kyocera AVX","0402YD475MAT2A"
"C12D","TopLayer","11.7000","10.0000","0","Kyocera AVX","0402YD475MAT2A"
"C11","TopLayer","6.3000","5.9000","270","Murata","GRM033C81A105ME05D"
"C11D","TopLayer","16.9000","9.0000","270","Murata","GRM187R61A226ME15D"
"C10","TopLayer","7.9250","7.5000","270","Murata","GRM033C81A105ME05D"
